"dad_job","decision_mode","impairment","mom_job","years_in_uk","start_date","end_date","progress","duration_in_seconds","finished","recorded_date","response_id","attributes_1","attributes_2","attributes_3","attributes_4","attributes_5","attributes_6","attributes_7","attributes_8","attributes_9","attributes_10","schwartz_s_1_1","schwartz_s_1_2","schwartz_s_1_3","schwartz_s_1_4","schwartz_s_1_5","schwartz_s_2_1","schwartz_s_2_2","schwartz_s_2_3","schwartz_s_2_4","schwartz_s_2_5","auth_s_1","auth_s_2","auth_s_3","auth_s_4","topics_s_1_1","topics_s_1_2","topics_s_1_3","topics_s_1_4","topics_s_1_5","topics_s_1_6","topics_s_2_1","topics_s_2_2","topics_s_2_3","topics_s_2_4","topics_s_2_5","topics_s_2_6","worth","good_qualties","failure","comparison","proud","positive_attitude","satisfaction","respect","useless","no_good","risk","trust","decision_mode_follow","likert_time_recip_1","likert_time_recip_2","likert_time_recip_3","pol_interest","political","social_ideo_1","social_ideo_2","social_ideo_3","social_ideo_4","social_ideo_5","ineq","redist","standard_live","private_redist","tax_share","uk_aid_spend","uk_immig_lvl","uk_poverty_aid","uk_problems","uk_similar","get_ahead_uk_1","get_ahead_uk_2","get_ahead_uk_3","get_ahead_uk_4","get_ahead_uk_5","get_ahead_uk_6","get_ahead_uk_7","get_ahead_uk_8","get_ahead_uk_9","get_ahead_uk_10","sex","birth","race","religion","single","uni_student","studies","prev_part","exp_part","impaired","mom_education","dad_education","siblings","siblings_order","children","number_children","birth_nation","abroad","nation","first_language","home_language","languages","other_country_s_1_1","other_country_s_1_2","other_country_s_1_3","other_country_s_2_1","other_country_s_2_2","other_country_s_2_3","dev_poverty_aid","dev_problems","dev_similar","get_ahead_dev_1","get_ahead_dev_2","get_ahead_dev_3","get_ahead_dev_4","get_ahead_dev_5","get_ahead_dev_6","get_ahead_dev_7","get_ahead_dev_8","get_ahead_dev_9","get_ahead_dev_10","charchc_noeff_6","charchc_noeff_7","charch_noef_rev_7","charch_noef_rev_12","char_choice_efftreat_6","char_choice_efftreat_7","choice_eff_reverse_6","choice_eff_reverse_12","donation","attn_geog_qn","reaction_qn","happiness","aid_treat","treat_image","treat_eff_info","d_river_1_st","time_desc_chars","time_charch","time_intro_prize","raw_treat_eff_info","raw_treat_image","treatment","char_choice","d_donation","d_donated_all","d_donated_mid","endow","av_don","don_guide_dogs","d_don_guide_dogs","don_river","d_don_river","date_sent","dur_survey","delay_response","eyes_correct_pct","d_decis_intu","d_decis_intu_m","givendate","age","d_mature","age_sq","dow","study"
"Government","I partly ponder and partly rely on intuition",NA,"Service",1,"2019/06/02 10:29:23","2019/06/02 10:47:52",100,1108,TRUE,"2019/06/02 10:47:52","R_AM0OcP4b0Uyx0nT","Agree Moderately","Agree a little","Neither agree nor disagree","Disagree Strongly","Agree Strongly","Disagree Moderately","Agree Moderately","Disagree a little","Agree a little","Disagree Moderately","Somewhat like me","Not like me at all","Somewhat like me","Somewhat like me","Like me","Like me","Like me","A little like me","A little like me","A little like me","Respect for their elders","Curiosity","Self-reliance","Being considerate","Agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","7","Depends","I more frequently rely on intuition","6","7","7","Very interested","4","Always Justifiable","Always Justifiable","Always Justifiable","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"Larger","Spend more","Increasing immigration levels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","01/08/2000","White","Atheist","Single","Yes","International relations","Yes","I'm open to both Online and In-Lab Experiments","No","Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",1,0,"No",NA,"No","Yes","France","No","French and english","French, Spanish","France","UK",NA,"18","1",NA,"Extremely supportive","A moderate amount","Somewhat dissimilar","Moderately important","Very important","Extremely important","Extremely important","Extremely important","Very important","Very important","Extremely important","Slightly important","Slightly important",NA,NA,NA,NA,NA,NA,NA,NA,0,"Africa and Asia","like I just wanted to help in some way.","Moderately happy","int","Image","No info","FALSE",NA,12.627,18.259,0,1,"Image only","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",18.483333333333334,1.602349537037037,0.7777777777777778,"1","1","2019-05-31",18.82819986310746,"FALSE",354.5011100851198,"1","Government/politics"
"Production, Transportation, and Material Moving","I decide very rapidly on the basis of my intuition",NA,"Farming, Fishing, and Forestry",NA,"2019/06/02 10:59:21","2019/06/02 11:04:25",100,304,TRUE,"2019/06/02 11:04:28","R_2e8cZB1qtQFA4m6","Agree a little","Disagree a little","Disagree Moderately","Disagree a little","Disagree a little","Neither agree nor disagree","Agree Moderately","Disagree Strongly","Disagree Moderately","Disagree Strongly","Like me","Somewhat like me","Like me","Somewhat like me","A little like me","A little like me","Somewhat like me","A little like me","Somewhat like me","Somewhat like me","Respect for their elders","Curiosity","Self-reliance","Being well-behaved","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Disagree","Strongly disagree","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","8","Most people can be trusted",NA,"1","3","4","Somewhat interested","2","5","8","4","4","Never justifiable",NA,NA,NA,NA,"Much smaller share","Spend the same amount","Decreasing immigration levels","Extremely supportive","A moderate amount","Somewhat dissimilar","Extremely important","Very important","Moderately important","Very important","Very important","Very important","Slightly important","Slightly important","Moderately important","Not at all important","Female","08/11/1996","Black Caribbean","Buddhist","Married","Yes","International relations","No","I'm open to both Online and In-Lab Experiments","No","Secondary Education (GCSE/O-Levels) or below","Post-graduate Degree (MA, MSc etc.)",2,1,"Yes",1,"Yes","Yes",NA,"Yes",NA,NA,"France",NA,NA,"2 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River blindnessDonation goes to the charity the Carter Center, for their River Blindness Program",NA,NA,50,"Latin America and Africa","like I just wanted to move on.","Extremely happy","uk","Image","Info","FALSE",22.741,22.74,9.25,1,1,"Image-Info","River blindness","2","1","0",50,1,0,"0",50,"1","2019/05/31 20:02:00",5.066666666666666,1.6231597222222223,0.16666666666666666,"1","1","2019-05-31",22.55715263518138,"FALSE",508.82513500687037,"1","Government/politics"
"Service","I ponder accurately, reasoning carefully about my choice",NA,"Service",0,"2019/06/02 10:59:55","2019/06/02 11:14:22",100,866,TRUE,"2019/06/02 11:14:22","R_AGQSeWfSTMNa2k1","Agree a little","Agree a little","Agree Strongly","Disagree Moderately","Agree Moderately","Disagree a little","Agree Moderately","Disagree Moderately","Agree Moderately","Neither agree nor disagree","Like me","A little like me","Somewhat like me","Very much like me","Very much like me","Like me","Like me","Very much like me","Like me","Like me","Independence","Good manners","Self-reliance","Being considerate","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Strongly disagree","Agree","Strongly Agree","Disagree","Agree","Strongly Disagree","Agree","Strongly Agree","Disagree","Agree","Strongly Disagree","8","Depends",NA,"9","6","6","Very interested","5","Always Justifiable","5","8","9","Always Justifiable",NA,NA,NA,NA,"Larger","Spend the same amount","Keeping immigration levels the same",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","18/02/1992","White","Other","Single","Yes","Public Opinion","Yes","I'm open to both Online and In-Lab Experiments","No","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","Undergraduate Degree (BA, BSc etc.)",2,0,"No",NA,"No","Yes","Mexico","No","Spanish","Hebrew","Canada","U.S.",NA,"6 Months","6 months",NA,"Very supportive","A lot","Somewhat similar","Very important","Very important","Extremely important","Very important","Moderately important","Very important","Slightly important","Slightly important","Moderately important","Moderately important",NA,"River blindnessDonation goes to the charity the Carter Center, for their River Blindness Program",NA,NA,NA,NA,NA,NA,40,"Latin America and Africa","like I just wanted to help in some way.","Moderately happy","int","Image","No info","FALSE",NA,16.35,18.762,0,1,"Image only","River blindness","2","0","1",50,0.8,0,"0",40,"1","2019/05/31 20:02:00",14.45,1.6235532407407407,0.7222222222222222,"0","0","2019-05-31",27.279945242984258,"TRUE",744.1954124602195,"1",NA
"Service","I partly ponder and partly rely on intuition",NA,"Management, Professional, and related",2,"2019/06/02 11:16:04","2019/06/02 11:45:49",100,1784,TRUE,"2019/06/02 11:45:50","R_3PMjeHU1IY5acSc","Agree a little","Disagree Moderately","Agree Moderately","Disagree a little","Agree Strongly","Agree a little","Agree Strongly","Disagree Strongly","Agree a little","Disagree Moderately","Somewhat like me","A little like me","Very much like me","Very much like me","Very much like me","Like me","Like me","A little like me","A little like me","Like me","Independence","Curiosity","Self-reliance","Being considerate","Agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Agree","Neither agree nor disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Agree","7","Depends","I more frequently rely on intuition","7","5","8","Somewhat interested","2","Always Justifiable","Always Justifiable","Always Justifiable","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"Larger","Spend more","Increasing immigration levels","Extremely supportive","A moderate amount","Somewhat similar","Not at all important","Not at all important","Extremely important","Extremely important","Extremely important","Moderately important","Moderately important","Moderately important","Not at all important","Not at all important","Female","11/06/1981","White","Christian","Single","Yes","Language and Linguistics","Yes","I'm open to both Online and In-Lab Experiments","No","Post-graduate Degree (MA, MSc etc.)","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",1,0,"No",NA,"No","Yes","United States","Yes",NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Moderately happy","uk","Image","No info","FALSE",NA,11.032,19.335,0,1,"Image only","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",29.75,1.6347685185185186,0.7777777777777778,"1","1","2019-05-31",37.96851471594798,"TRUE",1441.6081097351585,"1","Humanities"
"Government","I ponder accurately, reasoning carefully about my choice","slightly short sighted","Government",NA,"2019/06/01 13:05:14","2019/06/02 13:53:04",100,89269,TRUE,"2019/06/02 13:53:05","R_2V3axrKRHDG5RQk","Disagree Moderately","Agree a little","Disagree a little","Neither agree nor disagree","Agree a little","Neither agree nor disagree","Agree a little","Neither agree nor disagree","Neither agree nor disagree","Disagree Moderately","Somewhat like me","Not like me","Somewhat like me","Somewhat like me","Like me","A little like me","Somewhat like me","A little like me","Not like me","Not like me","Respect for their elders","Curiosity","Self-reliance","Being considerate","Agree","Disagree","Agree","Strongly disagree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Neither agree nor disagree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Agree","7","Can't be too careful",NA,"7","6","7","Not at all interested","5","Always Justifiable","7","7","8","Always Justifiable",NA,NA,NA,NA,"Larger","Spend the same amount","Keeping immigration levels the same","Extremely supportive","A little","Moderately similar","Extremely important","Very important","Extremely important","Very important","Very important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","Male","03/07/1997","Black African","Other","Single","Yes","Law","No","I'm open to both Online and In-Lab Experiments","Yes","Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",1,0,"No",NA,"Yes","Yes",NA,"Yes",NA,"Yoruba, Korean, French","England","Australia",NA,"20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River blindnessDonation goes to the charity the Carter Center, for their River Blindness Program",NA,NA,NA,NA,NA,NA,6,"Latin America and Africa","like I just wanted to move on.","Neither happy nor unhappy","uk","Image","No info","FALSE",NA,36.492,37.073,0,1,"Image only","River blindness","2","0","1",50,0.12,0,"0",6,"1","2019/05/31 20:02:00",1487.8333333333333,0.7105787037037037,0.8333333333333334,"0","0","2019-05-31",21.908281998631075,"FALSE",479.97282013154245,"7","Law/Legal"
"Government","I ponder accurately, reasoning carefully about my choice",NA,"Other",50,"2019/06/02 13:13:29","2019/06/02 14:02:27",100,2937,TRUE,"2019/06/02 14:02:28","R_1q24bDidzJypZnA","Agree a little","Disagree a little","Agree Moderately","Disagree a little","Agree Moderately","Disagree a little","Agree Strongly","Disagree Strongly","Agree Moderately","Neither agree nor disagree","Very much like me","A little like me","Very much like me","Very much like me","A little like me","A little like me","Somewhat like me","Not like me","Not like me at all","Somewhat like me","Respect for their elders","Curiosity","Self-reliance","Being considerate","Strongly agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Agree","Agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Disagree","Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Disagree","7","Depends",NA,"8","6","4","Not very interested","6","5","5","6","6","6",NA,NA,NA,NA,"The same share","Spend less","Decreasing immigration levels","Moderately supportive","A moderate amount","Somewhat similar","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Moderately important","Extremely important","Very important","Extremely important","Moderately important","Female","02/11/1950","Indian","Hindu","Married","No",NA,"No","I'm open to both Online and In-Lab Experiments","No","Secondary Education (GCSE/O-Levels) or below","Post-graduate Degree (MA, MSc etc.)",3,1,"Yes",2,"No","Yes","India","No","Gujarati","English, Gujarati, Hindi, Urdu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Moderately happy","uk","Image","No info","TRUE",NA,14.23,27.528000000000002,0,1,"Image only","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",48.96666666666667,1.7163078703703705,0.7777777777777778,"0","0","2019-05-31",68.57494866529774,"TRUE",4702.52358444822,"1",NA
"Other","I partly ponder and partly rely on intuition",NA,"Sales and Office",NA,"2019/06/02 14:16:45","2019/06/02 14:38:18",100,1293,TRUE,"2019/06/02 14:38:19","R_pmCodwlTOXGM8et","Disagree Moderately","Agree a little","Agree Moderately","Agree a little","Agree Strongly","Agree Moderately","Agree Strongly","Disagree Moderately","Agree Moderately","Disagree Moderately","Like me","Not like me","Like me","Like me","Very much like me","Like me","Somewhat like me","Somewhat like me","Not like me at all","Like me","Respect for their elders","Good manners","Obedience","Being considerate","Strongly agree","Neither agree nor disagree","Strongly agree","Disagree","Neither agree nor disagree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","8","Depends","I more frequently ponder carefully","7","5","7","Somewhat interested","3","Always Justifiable","Always Justifiable","Always Justifiable","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"Larger","Spend more","Increasing immigration levels","Extremely supportive","A lot","Somewhat similar","Extremely important","Extremely important","Extremely important","Very important","Very important","Extremely important","Very important","Very important","Very important","Very important","Female","18/11/1995","Black Caribbean","Christian","Single","Yes","Psychology","Yes","I'm open to both Online and In-Lab Experiments","No","Secondary Education (GCSE/O-Levels) or below","Secondary Education (GCSE/O-Levels) or below",0,NA,"No",NA,"Yes","No",NA,"Yes",NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River blindnessDonation goes to the charity the Carter Center, for their River Blindness Program",NA,NA,10,"Latin America and Africa","like I just wanted to help in some way.","Slightly happy","uk","No image","Info","FALSE",47.326,47.326,42.041,1,0,"Info only","River blindness","2","0","1",50,0.2,0,"0",10,"1","2019/05/31 20:02:00",21.55,1.7602430555555555,0.9444444444444444,"0","0","2019-05-31",23.531827515400412,"TRUE",553.7469062145559,"1","Psych"
"Service","I ponder accurately, reasoning carefully about my choice",NA,"Sales and Office",1,"2019/06/02 15:41:03","2019/06/02 16:17:35",100,2192,TRUE,"2019/06/02 16:17:36","R_5mRwbDT7z1dPDe9","Neither agree nor disagree","Agree a little","Disagree Moderately","Neither agree nor disagree","Agree Moderately","Agree a little","Agree a little","Disagree Moderately","Agree a little","Disagree a little","Not like me","Not like me","Like me","Like me","Somewhat like me","Somewhat like me","Like me","Somewhat like me","A little like me","Like me","Independence","Curiosity","Self-reliance","Being considerate","Strongly agree","Disagree","Agree","Disagree","Disagree","Strongly agree","Agree","Agree","Strongly agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","6","Can't be too careful",NA,"6","3","3","Not very interested","4","Always Justifiable","Always Justifiable","9","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"The same share","Spend more","Keeping immigration levels the same",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","19/04/1998","White","Christian","Single","Yes","BSc Psychology","Yes","I'm open to both Online and In-Lab Experiments","No","Post-graduate Degree (MA, MSc etc.)","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",2,2,"No",NA,"No","Yes","Poland","No","Polish","English, Russian","England",NA,NA,"1.5",NA,NA,"Extremely supportive","A moderate amount","Somewhat similar","Moderately important","Very important","Very important","Extremely important","Extremely important","Moderately important","Very important","Very important","Slightly important","Slightly important","Guide dogs 
Donation goes to the charity Guide Dogs (UK)  to support working guide dog partnerships 
",NA,NA,NA,NA,NA,NA,NA,15,"Europe","like I just wanted to help in some way.","Moderately happy","int","No image","No info","FALSE",NA,8.796,17.992,0,0,"Control","Guide dogs","2","0","1",50,0.3,15,"1",0,"0","2019/05/31 20:02:00",36.53333333333333,1.8187847222222222,0.8888888888888888,"0","0","2019-05-31",21.114305270362767,"FALSE",445.8138870500689,"1","Psych"
"Construction, Extraction, and maintenance","I partly ponder and partly rely on intuition","Wears glasses.","Other",NA,"2019/06/02 17:23:44","2019/06/02 17:40:03",100,978,TRUE,"2019/06/02 17:40:04","R_XMMahtX6ryULtPb","Disagree a little","Agree a little","Agree Moderately","Agree a little","Agree Moderately","Agree Strongly","Agree Moderately","Agree Moderately","Neither agree nor disagree","Disagree Moderately","Like me","Not like me","Like me","Somewhat like me","Very much like me","Somewhat like me","Like me","Very much like me","Like me","Very much like me","Independence","Good manners","Self-reliance","Being considerate","Agree","Agree","Agree","Disagree","Strongly agree","Neither agree nor disagree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","8","Can't be too careful","I more frequently ponder carefully","7","8","7","Not very interested","8","Always Justifiable","Always Justifiable","Always Justifiable","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"Much larger share","Spend the same amount","Keeping immigration levels the same","Moderately supportive","A lot","Moderately similar","Extremely important","Extremely important","Very important","Very important","Very important","Extremely important","Very important","Extremely important","Not at all important","Not at all important","Male","01/07/1996","Mixed","Atheist","Single","No",NA,"Yes","Online Only","Yes","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",1,1,"No",NA,"Yes","No",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Africa","like I just wanted to help in some way.","Slightly unhappy","uk","No image","No info","TRUE",NA,34.342,7.736,0,0,"Control","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",16.316666666666666,1.8900925925925927,0.6111111111111112,"0","0","2019-05-31",22.913073237508556,"FALSE",525.0089251874308,"1",NA
"Management, Professional, and related","I decide very rapidly on the basis of my intuition",NA,"Sales and Office",NA,"2019/06/02 17:49:58","2019/06/02 18:01:11",100,673,TRUE,"2019/06/02 18:01:11","R_2rBfiCXE3655goV","Disagree a little","Neither agree nor disagree","Disagree a little","Agree Moderately","Agree a little","Agree Moderately","Agree a little","Agree a little","Disagree Moderately","Neither agree nor disagree","A little like me","Not like me","Like me","Like me","Like me","Somewhat like me","Like me","Like me","Like me","A little like me","Independence","Good manners","Self-reliance","Being considerate","Agree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Agree","7","Can't be too careful",NA,"7","very willing to do so","very willing to do so","Somewhat interested","5","Always Justifiable","5","Always Justifiable","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"The same share","Spend the same amount","Decreasing immigration levels","Very supportive","A lot","Very similar","Very important","Very important","Very important","Extremely important","Extremely important","Very important","Very important","Very important","Moderately important","Moderately important","Female","10/11/1995","White","Christian","Single","Yes","Biology","No","I'm open to both Online and In-Lab Experiments","No","Secondary Education (GCSE/O-Levels) or below","Post-graduate Degree (MA, MSc etc.)",4,3,"No",NA,"Yes","No",NA,"Yes",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River blindnessDonation goes to the charity the Carter Center, for their River Blindness Program",NA,1,"Africa and Asia","like I just wanted to help in some way.","Neither happy nor unhappy","uk","Image","Info","TRUE",7.848,7.849,11.364,1,1,"Image-Info","River blindness","2","0","0",50,0.02,0,"0",1,"1","2019/05/31 20:02:00",11.216666666666667,1.9083101851851851,0.5,"1","1","2019-05-31",23.55373032169747,"TRUE",554.7782120672507,"1","Biological"
"Construction, Extraction, and maintenance","I ponder accurately, reasoning carefully about my choice",NA,"Unemployed",1,"2019/06/02 11:37:55","2019/06/02 20:20:26",100,31350,TRUE,"2019/06/02 20:20:26","R_DePAQY3ncZu33jj","Neither agree nor disagree","Agree a little","Agree Moderately","Agree a little","Agree Moderately","Disagree Moderately","Agree Moderately","Disagree Strongly","Agree a little","Disagree Strongly","Somewhat like me","Not like me","Like me","Like me","Like me","Somewhat like me","Somewhat like me","Like me","Not like me","Like me","Respect for their elders","Curiosity","Self-reliance","Being considerate","Agree","Neither agree nor disagree","Agree","Disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","6","Most people can be trusted",NA,"7","6","6","Not very interested","3","Always Justifiable","7","Always Justifiable","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"Larger","Spend the same amount","Keeping immigration levels the same",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","08/02/1995","White","Atheist","Single","Yes","Translation and Interpreting","No","I'm open to both Online and In-Lab Experiments","No","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",2,1,"No",NA,"No","Yes","The Netherlands","No","Dutch","German, Chinese","China","United Kingdom",NA,"1",NA,NA,"Moderately supportive","A moderate amount","Moderately dissimilar","Very important","Moderately important","Very important","Very important","Extremely important","Very important","Very important","Extremely important","Very important","Very important",NA,"River blindnessDonation goes to the charity the Carter Center, for their River Blindness Program",NA,NA,NA,NA,NA,NA,5,"Latin America and Africa","like I just wanted to move on.","Moderately happy","int","Image","No info","FALSE",NA,34.701,40.25,0,1,"Image only","River blindness","2","0","1",50,0.1,0,"0",5,"1","2019/05/31 20:02:00",522.5166666666667,1.6499421296296297,0.7222222222222222,"0","0","2019-05-31",24.306639288158795,"TRUE",590.8127134846648,"1",NA
"Management, Professional, and related","I ponder accurately, reasoning carefully about my choice",NA,"Management, Professional, and related",4,"2019/06/02 22:12:04","2019/06/02 22:24:07",100,723,TRUE,"2019/06/02 22:24:08","R_wMLnWXEX2XjElqN","Agree Strongly","Agree Strongly","Agree Moderately","Disagree a little","Agree Strongly","Agree a little","Agree Strongly","Disagree Strongly","Agree a little","Agree Strongly","Very much like me","Somewhat like me","Very much like me","Very much like me","Very much like me","Very much like me","Very much like me","Like me","Like me","Very much like me","Independence","Good manners","Self-reliance","Being well-behaved","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Agree","Strongly agree","Neither agree nor disagree","Agree","Strongly agree","Neither agree nor disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Very willing to take risks","Depends",NA,"5","9","9","Somewhat interested","Far Right","Never justifiable","8","Always Justifiable","Always Justifiable","Never justifiable",NA,NA,NA,NA,"Larger","Spend less","Decreasing immigration levels","Somewhat supportive","A moderate amount","Moderately dissimilar","Very important","Very important","Very important","Moderately important","Extremely important","Extremely important","Extremely important","Moderately important","Not at all important","Slightly important","Male","04/07/1996","White","Christian","Single","Yes","MSc Financial Engineering and Risk Management","Yes","I'm open to both Online and In-Lab Experiments","No","Undergraduate Degree (BA, BSc etc.)","Post-graduate Degree (MA, MSc etc.)",2,1,"No",NA,"No","Yes","Lithuania","No","Lithuanian","Russian","Lithuania","UK","-","18","4","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Africa","like I just wanted to move on.","Extremely happy","uk","No image","Info","TRUE",16.081,16.081,13.255,1,0,"Info only","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",12.05,2.0903240740740743,0.7222222222222222,"0","0","2019-05-31",22.90485968514716,"FALSE",524.6325971962796,"1","masters"
